datetime,GHI,DNI,Dew Point,Solar Generation (kW)
2020-01-01 08:45:00,75,18,-2.9000000000000004,22.01325051564628
2020-01-01 09:00:00,89,20,-2.9000000000000004,22.149857670116237
2020-01-01 09:15:00,149,186,-2.9000000000000004,183.7304255332579
2020-01-01 09:30:00,155,138,-2.9000000000000004,119.28523712710019
2020-01-01 09:45:00,181,174,-1.7000000000000002,128.37446388958074
2020-01-01 10:00:00,182,129,-1.7000000000000002,78.50103646344441
2020-01-01 10:15:00,232,256,-1.7000000000000002,122.16101758855616
2020-01-01 10:30:00,244,251,-1.7000000000000002,86.42311583860293
2020-01-01 10:45:00,207,108,-1.2000000000000002,22.731291643692114
2020-01-01 11:00:00,171,33,-1.2000000000000002,2.5160304759917858
2020-01-01 11:15:00,115,0,-1.2000000000000002,0.0
2020-01-01 11:30:00,183,40,-1.2000000000000002,7.643874099344514
2020-01-01 11:45:00,248,157,-1.0,50.720645999379066
2020-01-01 12:00:00,440,852,-1.0,386.07028795075917
2020-01-01 12:15:00,321,413,-1.0,239.85317700491527
2020-01-01 12:30:00,323,444,-1.0,313.1921465574863
2020-01-01 12:45:00,274,273,-0.9,225.6314997151535
2020-01-01 13:00:00,340,624,-0.9,588.771376248919
2020-01-01 13:15:00,351,764,-0.9,806.8231983315792
2020-01-01 13:30:00,369,816,-0.9,949.4402894439517
2020-01-01 13:45:00,346,807,-1.1,1021.2740078170422
2020-01-01 14:00:00,320,787,-1.1,1071.5659030623672
2020-01-01 14:15:00,291,764,-1.1,1108.8010140261738
2020-01-01 14:30:00,242,728,-1.1,1116.982410286075
2020-01-01 14:45:00,228,714,-1.6,1149.716059070457
2020-01-01 15:00:00,192,673,-1.6,1129.815861088053
2020-01-01 15:15:00,62,1,-1.6,1.739609646184177
2020-01-01 15:30:00,44,0,-1.6,0.0
2020-01-01 15:45:00,23,0,-2.5,0.0
2020-01-01 16:00:00,12,0,-2.5,0.0
2020-01-01 16:15:00,7,0,-2.5,0.0
2020-01-01 16:30:00,0,0,-2.5,0.0
2020-01-01 16:45:00,0,0,-3.2,0.0
2020-01-01 17:00:00,0,0,-3.2,0.0
2020-01-01 17:15:00,0,0,-3.2,0.0
2020-01-01 17:30:00,0,0,-3.2,0.0
2020-01-01 17:45:00,0,0,-3.9,0.0
2020-01-01 18:00:00,0,0,-3.9,0.0
2020-01-01 18:15:00,0,0,-3.9,0.0
2020-01-01 18:30:00,0,0,-3.9,0.0
2020-01-01 18:45:00,0,0,-3.9,0.0
2020-01-01 19:00:00,0,0,-4.7,0.0
2020-01-01 19:15:00,0,0,-4.7,0.0
2020-01-01 19:30:00,0,0,-4.7,0.0
2020-01-01 19:45:00,0,0,-5.6000000000000005,0.0
2020-01-01 20:00:00,0,0,-5.6000000000000005,0.0
2020-01-01 20:15:00,0,0,-5.6000000000000005,0.0
2020-01-01 20:30:00,0,0,-5.6000000000000005,0.0
2020-01-01 20:45:00,0,0,-6.4,0.0
2020-01-01 21:00:00,0,0,-6.4,0.0
2020-01-01 21:15:00,0,0,-6.4,0.0
2020-01-01 21:30:00,0,0,-6.4,0.0
2020-01-01 21:45:00,0,0,-7.0,0.0
2020-01-01 22:00:00,0,0,-7.0,0.0
2020-01-01 22:15:00,0,0,-7.0,0.0
2020-01-01 22:30:00,0,0,-7.0,0.0
2020-01-01 22:45:00,0,0,-7.800000000000001,0.0
2020-01-01 23:00:00,0,0,-7.800000000000001,0.0
2020-01-01 23:15:00,0,0,-7.800000000000001,0.0
2020-01-01 23:30:00,0,0,-7.800000000000001,0.0
2020-01-01 23:45:00,0,0,-9.0,0.0
2020-01-02 00:00:00,0,0,-9.0,0.0
2020-01-02 00:15:00,0,0,-9.0,0.0
2020-01-02 00:30:00,0,0,-9.0,0.0
2020-01-02 00:45:00,0,0,-10.1,0.0
2020-01-02 01:00:00,0,0,-10.1,0.0
2020-01-02 01:15:00,0,0,-10.1,0.0
2020-01-02 01:30:00,0,0,-10.1,0.0
2020-01-02 01:45:00,0,0,-10.3,0.0
2020-01-02 02:00:00,0,0,-10.3,0.0
2020-01-02 02:15:00,0,0,-10.3,0.0
2020-01-02 02:30:00,0,0,-10.3,0.0
2020-01-02 02:45:00,0,0,-9.8,0.0
2020-01-02 03:00:00,0,0,-9.8,0.0
2020-01-02 03:15:00,0,0,-9.8,0.0
2020-01-02 03:30:00,0,0,-9.8,0.0
2020-01-02 03:45:00,0,0,-9.2,0.0
2020-01-02 04:00:00,0,0,-9.2,0.0
2020-01-02 04:15:00,0,0,-9.1,0.0
2020-01-02 04:30:00,0,0,-9.1,0.0
2020-01-02 04:45:00,0,0,-8.6,0.0
2020-01-02 05:00:00,0,0,-8.6,0.0
2020-01-02 05:15:00,0,0,-8.6,0.0
2020-01-02 05:30:00,0,0,-8.6,0.0
2020-01-02 05:45:00,0,0,-8.1,0.0
2020-01-02 06:00:00,0,0,-8.1,0.0
2020-01-02 06:15:00,0,0,-8.1,0.0
2020-01-02 06:30:00,0,0,-8.1,0.0
2020-01-02 06:45:00,0,0,-7.9,0.0
2020-01-02 07:00:00,0,0,-7.9,0.0
2020-01-02 07:15:00,0,0,-7.9,0.0
2020-01-02 07:30:00,6,0,-7.9,0.0
2020-01-02 07:45:00,18,0,-6.1000000000000005,0.0
2020-01-02 08:00:00,39,67,-6.1000000000000005,103.35788777148184
2020-01-02 08:15:00,68,175,-6.1000000000000005,252.50383202996974
2020-01-02 08:30:00,96,238,-6.1000000000000005,318.3099595734658
2020-01-02 08:45:00,73,10,-3.3000000000000003,12.267794169897845
2020-01-02 09:00:00,104,64,-3.3000000000000003,71.1283381492915
2020-01-02 09:15:00,238,748,-3.3000000000000003,741.8163685751315
2020-01-02 09:30:00,269,776,-3.3000000000000003,673.8394472859201
2020-01-02 09:45:00,201,258,-1.0,191.37362888302854
2020-01-02 10:00:00,158,64,-1.0,39.20000620394827
2020-01-02 10:15:00,265,399,-1.0,191.97023278290345
2020-01-02 10:30:00,303,519,-1.0,180.71854612985248
2020-01-02 10:45:00,338,636,0.1,136.2945051696044
2020-01-02 11:00:00,347,620,0.1,49.590162453849054
2020-01-02 11:15:00,344,550,0.1,29.791386439999
2020-01-02 11:30:00,359,599,0.1,112.35878112752336
2020-01-02 11:45:00,355,560,0.3,179.01982902325506
2020-01-02 12:00:00,406,819,0.3,368.4712402898716
2020-01-02 12:15:00,372,670,0.3,387.05675619715447
2020-01-02 12:30:00,435,884,0.3,621.018659740198
2020-01-02 12:45:00,424,877,0.5,722.4805697865747
2020-01-02 13:00:00,409,865,0.5,814.0301939026751
2020-01-02 13:15:00,392,855,0.5,901.0047544207732
2020-01-02 13:30:00,371,843,0.5,979.1619162552124
2020-01-02 13:45:00,348,826,0.7000000000000001,1043.862544417375
2020-01-02 14:00:00,322,807,0.7000000000000001,1097.580894757061
2020-01-02 14:15:00,293,786,0.7000000000000001,1139.7521982721623
2020-01-02 14:30:00,261,759,0.7000000000000001,1163.8078950978577
2020-01-02 14:45:00,228,725,0.6000000000000001,1166.9244261819463
2020-01-02 15:00:00,154,447,0.6000000000000001,750.2277037558792
2020-01-02 15:15:00,119,353,0.6000000000000001,614.0370043586739
2020-01-02 15:30:00,67,101,0.6000000000000001,181.0575269920842
2020-01-02 15:45:00,52,131,0.5,240.73027011041773
2020-01-02 16:00:00,27,30,0.5,56.22748668420933
2020-01-02 16:15:00,14,0,0.5,0.0
2020-01-02 16:30:00,0,0,0.5,0.0
2020-01-02 16:45:00,0,0,0.4,0.0
2020-01-02 17:00:00,0,0,0.4,0.0
2020-01-02 17:15:00,0,0,0.4,0.0
2020-01-02 17:30:00,0,0,0.4,0.0
2020-01-02 17:45:00,0,0,0.4,0.0
2020-01-02 18:00:00,0,0,0.4,0.0
2020-01-02 18:15:00,0,0,0.4,0.0
2020-01-02 18:30:00,0,0,0.4,0.0
2020-01-02 18:45:00,0,0,0.4,0.0
2020-01-02 19:00:00,0,0,0.3,0.0
2020-01-02 19:15:00,0,0,0.3,0.0
2020-01-02 19:30:00,0,0,0.3,0.0
2020-01-02 19:45:00,0,0,0.4,0.0
2020-01-02 20:00:00,0,0,0.4,0.0
2020-01-02 20:15:00,0,0,0.4,0.0
2020-01-02 20:30:00,0,0,0.4,0.0
2020-01-02 20:45:00,0,0,0.4,0.0
2020-01-02 21:00:00,0,0,0.4,0.0
2020-01-02 21:15:00,0,0,0.4,0.0
2020-01-02 21:30:00,0,0,0.4,0.0
2020-01-02 21:45:00,0,0,0.4,0.0
2020-01-02 22:00:00,0,0,0.4,0.0
2020-01-02 22:15:00,0,0,0.4,0.0
2020-01-02 22:30:00,0,0,0.4,0.0
2020-01-02 22:45:00,0,0,0.4,0.0
2020-01-02 23:00:00,0,0,0.4,0.0
2020-01-02 23:15:00,0,0,0.4,0.0
2020-01-02 23:30:00,0,0,0.4,0.0
2020-01-02 23:45:00,0,0,0.4,0.0
2020-01-03 00:00:00,0,0,0.4,0.0
2020-01-03 00:15:00,0,0,0.4,0.0
2020-01-03 00:30:00,0,0,0.4,0.0
2020-01-03 00:45:00,0,0,0.3,0.0
2020-01-03 01:00:00,0,0,0.3,0.0
2020-01-03 01:15:00,0,0,0.3,0.0
2020-01-03 01:30:00,0,0,0.3,0.0
2020-01-03 01:45:00,0,0,0.2,0.0
2020-01-03 02:00:00,0,0,0.2,0.0
2020-01-03 02:15:00,0,0,0.2,0.0
2020-01-03 02:30:00,0,0,0.2,0.0
2020-01-03 02:45:00,0,0,0.4,0.0
2020-01-03 03:00:00,0,0,0.4,0.0
2020-01-03 03:15:00,0,0,0.4,0.0
2020-01-03 03:30:00,0,0,0.4,0.0
2020-01-03 03:45:00,0,0,0.3,0.0
2020-01-03 04:00:00,0,0,0.3,0.0
2020-01-03 04:15:00,0,0,0.3,0.0
2020-01-03 04:30:00,0,0,0.3,0.0
2020-01-03 04:45:00,0,0,0.0,0.0
2020-01-03 05:00:00,0,0,0.0,0.0
2020-01-03 05:15:00,0,0,0.0,0.0
2020-01-03 05:30:00,0,0,0.0,0.0
2020-01-03 05:45:00,0,0,0.1,0.0
2020-01-03 06:00:00,0,0,0.1,0.0
2020-01-03 06:15:00,0,0,0.1,0.0
2020-01-03 06:30:00,0,0,0.1,0.0
2020-01-03 06:45:00,0,0,0.3,0.0
2020-01-03 07:00:00,0,0,0.3,0.0
2020-01-03 07:15:00,0,0,0.3,0.0
2020-01-03 07:30:00,3,0,0.3,0.0
2020-01-03 07:45:00,13,0,0.7000000000000001,0.0
2020-01-03 08:00:00,24,0,0.7000000000000001,0.0
2020-01-03 08:15:00,23,0,0.7000000000000001,0.0
2020-01-03 08:30:00,77,96,0.7000000000000001,128.75120887359606
2020-01-03 08:45:00,66,0,1.1,0.0
2020-01-03 09:00:00,90,22,1.1,24.53524424796591
2020-01-03 09:15:00,182,369,1.1,367.38805460702963
2020-01-03 09:30:00,153,126,1.1,109.90599781672894
2020-01-03 09:45:00,146,63,1.7000000000000002,46.977896549455096
2020-01-03 10:00:00,89,0,1.7000000000000002,0.0
2020-01-03 10:15:00,218,198,1.7000000000000002,96.02991309951132
2020-01-03 10:30:00,221,168,1.7000000000000002,59.13978954358727
2020-01-03 10:45:00,274,315,2.4000000000000004,68.6839942250303
2020-01-03 11:00:00,332,527,2.3000000000000003,44.07747634045208
2020-01-03 11:15:00,240,152,2.3000000000000003,7.6942619420085485
2020-01-03 11:30:00,218,93,2.3000000000000003,17.12659124735918
2020-01-03 11:45:00,209,73,2.8000000000000003,23.097222947412725
2020-01-03 12:00:00,248,152,2.8000000000000003,67.91123773359557
2020-01-03 12:15:00,294,297,2.8000000000000003,170.70114417671684
2020-01-03 12:30:00,219,99,2.8000000000000003,69.27557163693697
2020-01-03 12:45:00,238,153,3.2,125.65204986066729
2020-01-03 13:00:00,272,287,3.2,269.417585964379
2020-01-03 13:15:00,219,147,3.2,154.59937460125758
2020-01-03 13:30:00,188,94,3.2,109.0070351659327
2020-01-03 13:45:00,141,25,3.0,31.55334514537436
2020-01-03 14:00:00,92,0,3.0,0.0
2020-01-03 14:15:00,79,0,3.0,0.0
2020-01-03 14:30:00,88,0,2.9000000000000004,0.0
2020-01-03 14:45:00,79,0,2.4000000000000004,0.0
2020-01-03 15:00:00,63,0,2.4000000000000004,0.0
2020-01-03 15:15:00,52,0,2.3000000000000003,0.0
2020-01-03 15:30:00,38,0,2.1,0.0
2020-01-03 15:45:00,24,0,1.9,0.0
2020-01-03 16:00:00,16,0,1.7000000000000002,0.0
2020-01-03 16:15:00,8,0,1.7000000000000002,0.0
2020-01-03 16:30:00,0,0,1.7000000000000002,0.0
2020-01-03 16:45:00,0,0,1.6,0.0
2020-01-03 17:00:00,0,0,1.6,0.0
2020-01-03 17:15:00,0,0,1.6,0.0
2020-01-03 17:30:00,0,0,1.7000000000000002,0.0
2020-01-03 17:45:00,0,0,1.7000000000000002,0.0
2020-01-03 18:00:00,0,0,1.7000000000000002,0.0
2020-01-03 18:15:00,0,0,1.7000000000000002,0.0
2020-01-03 18:30:00,0,0,1.7000000000000002,0.0
2020-01-03 18:45:00,0,0,1.7000000000000002,0.0
2020-01-03 19:00:00,0,0,1.7000000000000002,0.0
2020-01-03 19:15:00,0,0,1.7000000000000002,0.0
2020-01-03 19:30:00,0,0,1.7000000000000002,0.0
2020-01-03 19:45:00,0,0,1.6,0.0
2020-01-03 20:00:00,0,0,1.6,0.0
2020-01-03 20:15:00,0,0,1.6,0.0
2020-01-03 20:30:00,0,0,1.7000000000000002,0.0
2020-01-03 20:45:00,0,0,1.7000000000000002,0.0
2020-01-03 21:00:00,0,0,1.7000000000000002,0.0
2020-01-03 21:15:00,0,0,1.7000000000000002,0.0
2020-01-03 21:30:00,0,0,1.7000000000000002,0.0
2020-01-03 21:45:00,0,0,1.7000000000000002,0.0
2020-01-03 22:00:00,0,0,1.8,0.0
2020-01-03 22:15:00,0,0,1.7000000000000002,0.0
2020-01-03 22:30:00,0,0,1.7000000000000002,0.0
2020-01-03 22:45:00,0,0,1.7000000000000002,0.0
2020-01-03 23:00:00,0,0,1.7000000000000002,0.0
2020-01-03 23:15:00,0,0,1.6,0.0
2020-01-03 23:30:00,0,0,1.6,0.0
2020-01-03 23:45:00,0,0,1.5,0.0
2020-01-04 00:00:00,0,0,1.5,0.0
2020-01-04 00:15:00,0,0,1.4,0.0
2020-01-04 00:30:00,0,0,1.4,0.0
2020-01-04 00:45:00,0,0,1.3,0.0
2020-01-04 01:00:00,0,0,1.3,0.0
2020-01-04 01:15:00,0,0,1.3,0.0
2020-01-04 01:30:00,0,0,1.4,0.0
2020-01-04 01:45:00,0,0,1.5,0.0
2020-01-04 02:00:00,0,0,1.5,0.0
2020-01-04 02:15:00,0,0,1.6,0.0
2020-01-04 02:30:00,0,0,1.6,0.0
2020-01-04 02:45:00,0,0,1.6,0.0
2020-01-04 03:00:00,0,0,1.6,0.0
2020-01-04 03:15:00,0,0,1.6,0.0
2020-01-04 03:30:00,0,0,1.6,0.0
2020-01-04 03:45:00,0,0,1.7000000000000002,0.0
2020-01-04 04:00:00,0,0,1.7000000000000002,0.0
2020-01-04 04:15:00,0,0,1.7000000000000002,0.0
2020-01-04 04:30:00,0,0,1.7000000000000002,0.0
2020-01-04 04:45:00,0,0,1.5,0.0
2020-01-04 05:00:00,0,0,1.5,0.0
2020-01-04 05:15:00,0,0,1.4,0.0
2020-01-04 05:30:00,0,0,1.3,0.0
2020-01-04 05:45:00,0,0,1.2000000000000002,0.0
2020-01-04 06:00:00,0,0,1.1,0.0
2020-01-04 06:15:00,0,0,1.1,0.0
2020-01-04 06:30:00,0,0,1.1,0.0
2020-01-04 06:45:00,0,0,1.1,0.0
2020-01-04 07:00:00,0,0,1.2000000000000002,0.0
2020-01-04 07:15:00,0,0,1.2000000000000002,0.0
2020-01-04 07:30:00,3,0,1.2000000000000002,0.0
2020-01-04 07:45:00,14,0,1.6,0.0
2020-01-04 08:00:00,22,0,1.6,0.0
2020-01-04 08:15:00,36,0,1.6,0.0
2020-01-04 08:30:00,20,0,1.6,0.0
2020-01-04 08:45:00,51,0,1.8,0.0
2020-01-04 09:00:00,68,0,1.8,0.0
2020-01-04 09:15:00,113,46,1.8,45.976504790320426
2020-01-04 09:30:00,95,0,1.8,0.0
2020-01-04 09:45:00,72,0,1.9,0.0
2020-01-04 10:00:00,138,26,1.9,16.126501745778167
2020-01-04 10:15:00,130,7,1.9,3.4216063088965556
2020-01-04 10:30:00,175,57,1.9,20.278492518073673
2020-01-04 10:45:00,83,0,2.1,0.0
2020-01-04 11:00:00,178,41,2.0,3.5753068038295583
2020-01-04 11:15:00,65,0,2.0,0.0
2020-01-04 11:30:00,12,0,2.0,0.0
2020-01-04 11:45:00,76,0,2.1,0.0
2020-01-04 12:00:00,13,0,2.1,0.0
2020-01-04 12:15:00,13,0,2.1,0.0
2020-01-04 12:30:00,12,0,2.1,0.0
2020-01-04 12:45:00,98,0,2.0,0.0
2020-01-04 13:00:00,12,0,2.0,0.0
2020-01-04 13:15:00,117,0,2.0,0.0
2020-01-04 13:30:00,12,0,2.0,0.0
2020-01-04 13:45:00,11,0,2.1,0.0
2020-01-04 14:00:00,53,0,2.1,0.0
2020-01-04 14:15:00,60,0,2.1,0.0
2020-01-04 14:30:00,43,0,2.1,0.0
2020-01-04 14:45:00,50,0,2.0,0.0
2020-01-04 15:00:00,42,0,2.0,0.0
2020-01-04 15:15:00,58,0,2.0,0.0
2020-01-04 15:30:00,40,0,1.9,0.0
2020-01-04 15:45:00,31,0,1.5,0.0
2020-01-04 16:00:00,23,0,1.5,0.0
2020-01-04 16:15:00,10,0,1.4,0.0
2020-01-04 16:30:00,0,0,1.4,0.0
2020-01-04 16:45:00,0,0,1.3,0.0
2020-01-04 17:00:00,0,0,1.3,0.0
2020-01-04 17:15:00,0,0,1.3,0.0
2020-01-04 17:30:00,0,0,1.3,0.0
2020-01-04 17:45:00,0,0,1.1,0.0
2020-01-04 18:00:00,0,0,1.1,0.0
2020-01-04 18:15:00,0,0,1.1,0.0
2020-01-04 18:30:00,0,0,1.1,0.0
2020-01-04 18:45:00,0,0,1.1,0.0
2020-01-04 19:00:00,0,0,0.8,0.0
2020-01-04 19:15:00,0,0,0.8,0.0
2020-01-04 19:30:00,0,0,0.8,0.0
2020-01-04 19:45:00,0,0,0.6000000000000001,0.0
2020-01-04 20:00:00,0,0,0.6000000000000001,0.0
2020-01-04 20:15:00,0,0,0.6000000000000001,0.0
2020-01-04 20:30:00,0,0,0.6000000000000001,0.0
2020-01-04 20:45:00,0,0,0.3,0.0
2020-01-04 21:00:00,0,0,0.3,0.0
2020-01-04 21:15:00,0,0,0.3,0.0
2020-01-04 21:30:00,0,0,0.3,0.0
2020-01-04 21:45:00,0,0,0.0,0.0
2020-01-04 22:00:00,0,0,0.0,0.0
2020-01-04 22:15:00,0,0,0.0,0.0
2020-01-04 22:30:00,0,0,0.0,0.0
2020-01-04 22:45:00,0,0,-0.3,0.0
2020-01-04 23:00:00,0,0,-0.3,0.0
2020-01-04 23:15:00,0,0,-0.3,0.0
2020-01-04 23:30:00,0,0,-0.3,0.0
2020-01-04 23:45:00,0,0,-0.7000000000000001,0.0
2020-01-05 00:00:00,0,0,-0.7000000000000001,0.0
2020-01-05 00:15:00,0,0,-0.7000000000000001,0.0
2020-01-05 00:30:00,0,0,-0.7000000000000001,0.0
2020-01-05 00:45:00,0,0,-1.1,0.0
2020-01-05 01:00:00,0,0,-1.1,0.0
2020-01-05 01:15:00,0,0,-1.1,0.0
2020-01-05 01:30:00,0,0,-1.1,0.0
2020-01-05 01:45:00,0,0,-1.8,0.0
2020-01-05 02:00:00,0,0,-1.8,0.0
2020-01-05 02:15:00,0,0,-1.8,0.0
2020-01-05 02:30:00,0,0,-1.8,0.0
2020-01-05 02:45:00,0,0,-2.5,0.0
2020-01-05 03:00:00,0,0,-2.5,0.0
2020-01-05 03:15:00,0,0,-2.5,0.0
2020-01-05 03:30:00,0,0,-2.5,0.0
2020-01-05 03:45:00,0,0,-3.2,0.0
2020-01-05 04:00:00,0,0,-3.2,0.0
2020-01-05 04:15:00,0,0,-3.2,0.0
2020-01-05 04:30:00,0,0,-3.2,0.0
2020-01-05 04:45:00,0,0,-3.9,0.0
2020-01-05 05:00:00,0,0,-3.9,0.0
2020-01-05 05:15:00,0,0,-3.9,0.0
2020-01-05 05:30:00,0,0,-3.9,0.0
2020-01-05 05:45:00,0,0,-4.6000000000000005,0.0
2020-01-05 06:00:00,0,0,-4.5,0.0
2020-01-05 06:15:00,0,0,-4.5,0.0
2020-01-05 06:30:00,0,0,-4.5,0.0
2020-01-05 06:45:00,0,0,-5.0,0.0
2020-01-05 07:00:00,0,0,-5.0,0.0
2020-01-05 07:15:00,0,0,-5.0,0.0
2020-01-05 07:30:00,15,217,-5.0,376.11706218670446
2020-01-05 07:45:00,18,0,-4.9,0.0
2020-01-05 08:00:00,30,0,-4.9,0.0
2020-01-05 08:15:00,30,0,-4.9,0.0
2020-01-05 08:30:00,44,0,-4.9,0.0
2020-01-05 08:45:00,67,0,-5.0,0.0
2020-01-05 09:00:00,76,0,-5.0,0.0
2020-01-05 09:15:00,94,4,-5.0,4.013207662524133
2020-01-05 09:30:00,41,0,-5.0,0.0
2020-01-05 09:45:00,20,0,-5.1000000000000005,0.0
2020-01-05 10:00:00,38,0,-5.1000000000000005,0.0
2020-01-05 10:15:00,138,15,-5.1000000000000005,7.3879264359456105
2020-01-05 10:30:00,206,121,-5.1000000000000005,43.490157631065145
2020-01-05 10:45:00,148,13,-5.1000000000000005,2.928634615685104
2020-01-05 11:00:00,109,0,-5.1000000000000005,0.0
2020-01-05 11:15:00,160,16,-5.1000000000000005,0.7011432035286423
2020-01-05 11:30:00,106,0,-5.1000000000000005,0.0
2020-01-05 11:45:00,145,2,-5.0,0.6203466474599113
2020-01-05 12:00:00,165,16,-5.0,7.054256676753149
2020-01-05 12:15:00,258,177,-5.0,100.75219252166434
2020-01-05 12:30:00,204,68,-5.0,47.23383620028348
2020-01-05 12:45:00,214,93,-5.1000000000000005,75.93782854205108
2020-01-05 13:00:00,236,161,-5.1000000000000005,150.44826093312344
2020-01-05 13:15:00,280,354,-5.1000000000000005,370.95194767871897
2020-01-05 13:30:00,307,556,-5.1000000000000005,642.9178749798597
2020-01-05 13:45:00,292,568,-5.2,715.292528234385
2020-01-05 14:00:00,340,861,-5.2,1167.8760194396482
2020-01-05 14:15:00,310,841,-5.2,1217.105603778674
2020-01-05 14:30:00,279,816,-5.2,1249.5504523083785
2020-01-05 14:45:00,245,788,-5.5,1267.3848970049728
2020-01-05 15:00:00,209,752,-5.5,1261.8683545253202
2020-01-05 15:15:00,172,707,-5.5,1230.1753692515997
2020-01-05 15:30:00,134,650,-5.5,1166.1143968692922
2020-01-05 15:45:00,96,574,-5.9,1056.0860441244574
2020-01-05 16:00:00,61,478,-5.9,897.3704852525925
2020-01-05 16:15:00,30,350,-5.9,667.1981739145283
2020-01-05 16:30:00,0,0,-5.9,0.0
2020-01-05 16:45:00,0,0,-6.2,0.0
2020-01-05 17:00:00,0,0,-6.2,0.0
2020-01-05 17:15:00,0,0,-6.2,0.0
2020-01-05 17:30:00,0,0,-6.2,0.0
2020-01-05 17:45:00,0,0,-6.6000000000000005,0.0
2020-01-05 18:00:00,0,0,-6.6000000000000005,0.0
2020-01-05 18:15:00,0,0,-6.6000000000000005,0.0
2020-01-05 18:30:00,0,0,-6.6000000000000005,0.0
2020-01-05 18:45:00,0,0,-6.6000000000000005,0.0
2020-01-05 19:00:00,0,0,-7.300000000000001,0.0
2020-01-05 19:15:00,0,0,-7.300000000000001,0.0
2020-01-05 19:30:00,0,0,-7.300000000000001,0.0
2020-01-05 19:45:00,0,0,-8.200000000000001,0.0
2020-01-05 20:00:00,0,0,-8.200000000000001,0.0
2020-01-05 20:15:00,0,0,-8.200000000000001,0.0
2020-01-05 20:30:00,0,0,-8.200000000000001,0.0
2020-01-05 20:45:00,0,0,-8.3,0.0
2020-01-05 21:00:00,0,0,-8.3,0.0
2020-01-05 21:15:00,0,0,-8.3,0.0
2020-01-05 21:30:00,0,0,-8.3,0.0
2020-01-05 21:45:00,0,0,-8.1,0.0
2020-01-05 22:00:00,0,0,-8.1,0.0
2020-01-05 22:15:00,0,0,-8.1,0.0
2020-01-05 22:30:00,0,0,-8.1,0.0
2020-01-05 22:45:00,0,0,-7.5,0.0
2020-01-05 23:00:00,0,0,-7.5,0.0
2020-01-05 23:15:00,0,0,-7.5,0.0
2020-01-05 23:30:00,0,0,-7.5,0.0
2020-01-05 23:45:00,0,0,-6.9,0.0
2020-01-06 00:00:00,0,0,-6.9,0.0
2020-01-06 00:15:00,0,0,-6.9,0.0
2020-01-06 00:30:00,0,0,-6.9,0.0
2020-01-06 00:45:00,0,0,-6.300000000000001,0.0
2020-01-06 01:00:00,0,0,-6.300000000000001,0.0
2020-01-06 01:15:00,0,0,-6.300000000000001,0.0
2020-01-06 01:30:00,0,0,-6.300000000000001,0.0
2020-01-06 01:45:00,0,0,-5.7,0.0
2020-01-06 02:00:00,0,0,-5.7,0.0
2020-01-06 02:15:00,0,0,-5.7,0.0
2020-01-06 02:30:00,0,0,-5.7,0.0
2020-01-06 02:45:00,0,0,-5.300000000000001,0.0
2020-01-06 03:00:00,0,0,-5.300000000000001,0.0
2020-01-06 03:15:00,0,0,-5.300000000000001,0.0
2020-01-06 03:30:00,0,0,-5.300000000000001,0.0
2020-01-06 03:45:00,0,0,-5.1000000000000005,0.0
2020-01-06 04:00:00,0,0,-5.1000000000000005,0.0
2020-01-06 04:15:00,0,0,-5.1000000000000005,0.0
2020-01-06 04:30:00,0,0,-5.1000000000000005,0.0
2020-01-06 04:45:00,0,0,-5.1000000000000005,0.0
