datetime,GHI,DNI,Dew Point,Solar Generation (kW)
2020-01-01 00:00:00,0,0,-2.4000000000000004,0.0
2020-01-01 00:15:00,0,0,-2.4000000000000004,0.0
2020-01-01 00:30:00,0,0,-2.4000000000000004,0.0
2020-01-01 00:45:00,0,0,-3.6,0.0
2020-01-01 01:00:00,0,0,-3.6,0.0
2020-01-01 01:15:00,0,0,-3.6,0.0
2020-01-01 01:30:00,0,0,-3.6,0.0
2020-01-01 01:45:00,0,0,-4.5,0.0
2020-01-01 02:00:00,0,0,-4.5,0.0
2020-01-01 02:15:00,0,0,-4.5,0.0
2020-01-01 02:30:00,0,0,-4.5,0.0
2020-01-01 02:45:00,0,0,-5.1000000000000005,0.0
2020-01-01 03:00:00,0,0,-5.1000000000000005,0.0
2020-01-01 03:15:00,0,0,-5.1000000000000005,0.0
2020-01-01 03:30:00,0,0,-5.1000000000000005,0.0
2020-01-01 03:45:00,0,0,-5.6000000000000005,0.0
2020-01-01 04:00:00,0,0,-5.6000000000000005,0.0
2020-01-01 04:15:00,0,0,-5.6000000000000005,0.0
2020-01-01 04:30:00,0,0,-5.6000000000000005,0.0
2020-01-01 04:45:00,0,0,-5.9,0.0
2020-01-01 05:00:00,0,0,-5.9,0.0
2020-01-01 05:15:00,0,0,-5.9,0.0
2020-01-01 05:30:00,0,0,-5.9,0.0
2020-01-01 05:45:00,0,0,-5.9,0.0
2020-01-01 06:00:00,0,0,-5.9,0.0
2020-01-01 06:15:00,0,0,-5.9,0.0
2020-01-01 06:30:00,0,0,-5.9,0.0
2020-01-01 06:45:00,0,0,-6.0,0.0
2020-01-01 07:00:00,0,0,-6.0,0.0
2020-01-01 07:15:00,0,0,-6.0,0.0
2020-01-01 07:30:00,4,0,-6.0,0.0
2020-01-01 07:45:00,13,0,-4.9,0.0
2020-01-01 08:00:00,22,0,-4.9,0.0
2020-01-01 08:15:00,35,0,-4.9,0.0
2020-01-01 08:30:00,71,59,-4.9,78.68832516845758
